legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes,addition_set
AAAP_27,aaap27,aaap,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i022_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i022_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/pdf/aaap27.pdf,"AAAP winter newsletter, February 2000",https://n2t.net/ark:/87292/w9610vw4f,,,,MS 430,American Association of Avian Pathologists records,,https://n2t.net/ark:/87292/w9sj33,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,American Association of Avian Pathologists,http://id.loc.gov/authorities/names/n81134879,,,,,,,,,"The winter newsletter of the American Association of Avian Pathologists, February 2000. The quarterly newsletter features several different topics, including the AAAP/AVMA (American Veterinary Medical Association) preliminary scientific program, 1999 committee reports, the AAAP enteric disease committee 1999 survey, and meeting schedules.",,eng,2000s,,,American Veterinary Medical Association,http://id.loc.gov/authorities/names/n80017875,"Poultry--Diseases;Avian medicine;Veterinary pathology;Associations, institutions, etc.;Meetings",http://id.worldcat.org/fast/1073931;http://id.worldcat.org/fast/824348;http://id.worldcat.org/fast/1166054;http://id.worldcat.org/fast/819166;http://id.worldcat.org/fast/1015496,Pennsylvania--Kennett Square,http://id.worldcat.org/fast/1202755,,,,,,,27 pages,,,newsletters,http://vocab.getty.edu/aat/300026652,Text,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,2000-02,2017-01-04,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital; Digitized with Plustek,,
AAAP_0,aaap0,aaap,child,aaap27,1,MS430b051f005i022.tif,ms430b051f005i022.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i022.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i022_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i022_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap0.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap0.txt,,,Page 1,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_1,aaap1,aaap,child,aaap27,2,MS430b051f005i023.tif,ms430b051f005i023.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i023.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i023_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i023_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap1.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap1.txt,,,Page 2,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_2,aaap2,aaap,child,aaap27,3,MS430b051f005i024.tif,ms430b051f005i024.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i024.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i024_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i024_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap2.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap2.txt,,,Page 3,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_3,aaap3,aaap,child,aaap27,4,MS430b051f005i025.tif,ms430b051f005i025.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i025.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i025_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i025_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap3.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap3.txt,,,Page 4,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_4,aaap4,aaap,child,aaap27,5,MS430b051f005i026.tif,ms430b051f005i026.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i026.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i026_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i026_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap4.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap4.txt,,,Page 5,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_5,aaap5,aaap,child,aaap27,6,MS430b051f005i027.tif,ms430b051f005i027.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i027.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i027_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i027_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap5.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap5.txt,,,Page 6,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_6,aaap6,aaap,child,aaap27,7,MS430b051f005i028.tif,ms430b051f005i028.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i028.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i028_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i028_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap6.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap6.txt,,,Page 7,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_7,aaap7,aaap,child,aaap27,8,MS430b051f005i029.tif,ms430b051f005i029.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i029.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i029_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i029_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap7.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap7.txt,,,Page 8,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
AAAP_8,aaap8,aaap,child,aaap27,9,MS430b051f005i030.tif,ms430b051f005i030.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ms430b051f005i030.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/small/ms430b051f005i030_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/thumbs/ms430b051f005i030_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/ocr/aaap8.txt,https://digitalcollections.lib.iastate.edu/digital-objects/aaap/hocr/aaap8.txt,,,Page 9,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,This item is protected by U.S. copyright and related rights. Iowa State University has provided digital access to this material for nonprofit educational or scholarship purposes in accordance with 17 U.S. Code 107. The university cannot grant permission for reuse. You may need to obtain permission from the rights-holder for use of this item.,http://rightsstatements.org/vocab/InC/1.0/,,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,American Association of Avian Pathologists collection,https://n2t.net/ark:/87292/w9wm13t2x,,,reformatted digital,,
