legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf_hold,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
AdonijahWelch_302,adonijahwelch302,adonijahwelch,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-001a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-001a_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/pdf/adonijahwelch302.pdf,Syllabus of histories of civilizing forces,https://n2t.net/ark:/87292/w9sv4k,,,RS 2/01,Adonijah Strong Welch papers,https://n2t.net/ark:/87292/w9f193,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Welch, A. S. (Adonijah Strong), 1821-1889",http://id.loc.gov/authorities/names/no2015068350,,,,,,,,,,,"Box 3, Folder 4: Booklet for senior students which contains a brief explanation by Welch, followed by a bibliography of materials students are to read and analyze for their selected branch of study. The selected readings give students a view of the history, origin, and growth of ""forces that promote civilization.""",,eng,,,,,,,,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,40 pages; 19 x 13 cm,,,speeches (documents),http://vocab.getty.edu/aat/300026671,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1887,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_262,adonijahwelch262,adonijahwelch,child,adonijahwelch302,1,02-01_Welch_003-004-001a.tif,02-01_welch_003-004-001a.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-001a.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-001a_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-001a_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch262.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch262.txt,,,Cover,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_263,adonijahwelch263,adonijahwelch,child,adonijahwelch302,2,02-01_Welch_003-004-001b.tif,02-01_welch_003-004-001b.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-001b.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-001b_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-001b_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch263.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch263.txt,,,Page i,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_264,adonijahwelch264,adonijahwelch,child,adonijahwelch302,3,02-01_Welch_003-004-001c.tif,02-01_welch_003-004-001c.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-001c.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-001c_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-001c_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch264.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch264.txt,,,Page ii,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_265,adonijahwelch265,adonijahwelch,child,adonijahwelch302,4,02-01_Welch_003-004-001d.tif,02-01_welch_003-004-001d.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-001d.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-001d_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-001d_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch265.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch265.txt,,,Page iii,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_266,adonijahwelch266,adonijahwelch,child,adonijahwelch302,5,02-01_Welch_003-004-001e.tif,02-01_welch_003-004-001e.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-001e.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-001e_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-001e_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch266.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch266.txt,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_267,adonijahwelch267,adonijahwelch,child,adonijahwelch302,6,02-01_Welch_003-004-002.tif,02-01_welch_003-004-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-002_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch267.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch267.txt,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_268,adonijahwelch268,adonijahwelch,child,adonijahwelch302,7,02-01_Welch_003-004-003.tif,02-01_welch_003-004-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-003_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch268.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch268.txt,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_269,adonijahwelch269,adonijahwelch,child,adonijahwelch302,8,02-01_Welch_003-004-004.tif,02-01_welch_003-004-004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-004_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch269.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch269.txt,,,Page 4,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_270,adonijahwelch270,adonijahwelch,child,adonijahwelch302,9,02-01_Welch_003-004-005.tif,02-01_welch_003-004-005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-005_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch270.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch270.txt,,,Page 5,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_271,adonijahwelch271,adonijahwelch,child,adonijahwelch302,10,02-01_Welch_003-004-006.tif,02-01_welch_003-004-006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-006_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch271.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch271.txt,,,Page 6,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
AdonijahWelch_272,adonijahwelch272,adonijahwelch,child,adonijahwelch302,11,02-01_Welch_003-004-007.tif,02-01_welch_003-004-007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/02-01_welch_003-004-007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/small/02-01_welch_003-004-007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/thumbs/02-01_welch_003-004-007_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/ocr/adonijahwelch272.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/adonijahwelch/hocr/adonijahwelch272.txt,,,Page 7,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Adonijah Welch papers,https://n2t.net/ark:/87292/w9gm81n8p,,,reformatted digital
