legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf_hold,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
ExtensionOutreach_0,extensionoutreach0,extensionoutreach,simple,,0,16-05-F_Extension_1450-07-001.tif,16-05-f_extension_1450-07-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-05-f_extension_1450-07-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/16-05-f_extension_1450-07-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/16-05-f_extension_1450-07-001_th.jpg,,,,,Two men in a demonstration farm,https://n2t.net/ark:/87292/w9kw76,,,RS 16/5,Iowa State University. Office of Continuing Education records,https://n2t.net/ark:/87292/w9s21h,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Holden, P. G. (Perry Greeley), 1865-1959",http://id.loc.gov/authorities/names/n91089773,,,,,,,,,,,Short courses 1904-09. M. L. Wilson 2209.,,eng;zxx,1900s,,,Iowa State University. University Extension,http://id.loc.gov/authorities/names/n88655482,Corn;Agricultural education;Agricultural extension work,http://id.worldcat.org/fast/878993;http://id.worldcat.org/fast/800702;http://id.worldcat.org/fast/800781,Iowa,http://id.worldcat.org/fast/1205835,,,,12.0 x 17.0 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1904/1909,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_1,extensionoutreach1,extensionoutreach,simple,,0,16-03-D_Extension_1363-03-001.tif,16-03-d_extension_1363-03-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-03-d_extension_1363-03-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/16-03-d_extension_1363-03-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/16-03-d_extension_1363-03-001_th.jpg,,,,,Sheep judging short course,https://n2t.net/ark:/87292/w9g35k,,,RS 16/3,Iowa State University. Cooperative Extension Service in Agriculture and Home Economics records,https://n2t.net/ark:/87292/w9t50g,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"Local Livestock short course, Waukon, Iowa, 1911;Local short course students study cattle, hogs, horses, sheep and their feeding and management.",,eng;zxx,1910s,,,Iowa State University. University Extension,http://id.loc.gov/authorities/names/n88655482,Agricultural education;Agricultural extension work;Sheep,http://id.worldcat.org/fast/800702;http://id.worldcat.org/fast/800781;http://id.worldcat.org/fast/1115460,Iowa--Allamakee County,http://id.worldcat.org/fast/1212636,,,,15.7 x 20.6 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1911,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_2,extensionoutreach2,extensionoutreach,simple,,0,16-06-F_Extension_1455-04-001.tif,16-06-f_extension_1455-04-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-06-f_extension_1455-04-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/16-06-f_extension_1455-04-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/16-06-f_extension_1455-04-001_th.jpg,,,,,Home economics short course in session,https://n2t.net/ark:/87292/w9bd29,,,RS 16/5,Iowa State University. Office of Continuing Education records,https://n2t.net/ark:/87292/w9s21h,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"Early short course in Home Economics, before 1908.",,eng;zxx,1900s,,,Iowa State University. University Extension,http://id.loc.gov/authorities/names/n88655482,Home economics extension work;Education;Home economics,http://id.worldcat.org/fast/959246;http://id.worldcat.org/fast/902499;http://id.worldcat.org/fast/959173,Iowa,http://id.worldcat.org/fast/1205835,,,,12.0 x 16.9 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1908,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_3,extensionoutreach3,extensionoutreach,simple,,0,16-03-E_Extension_1364-01-001.tif,16-03-e_extension_1364-01-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-03-e_extension_1364-01-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/16-03-e_extension_1364-01-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/16-03-e_extension_1364-01-001_th.jpg,,,,,J.W. Jones lectures while M.L. Mosher displays corn testing box,https://n2t.net/ark:/87292/w96m0c,,,RS 16/3,Iowa State University. Cooperative Extension Service in Agriculture and Home Economics records,https://n2t.net/ark:/87292/w9t50g,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"Educational Trains. 1905. J. W. Jones speaking. M. L. Mosher helping. Audience in coach listens to a talk on producing better corn. Note the Holden sawdust corn testing box, a method by which 6 kernels of corn from each seed ear could be tested. Audience advised to plant only ears that tested six kernels strong.",,eng;zxx,1900s,,,Iowa State College;Iowa State University;Iowa State University. University Extension,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n81041658;http://id.loc.gov/authorities/names/n88655482,Agricultural education;Agricultural extension work;Railroads;Corn,http://id.worldcat.org/fast/800702;http://id.worldcat.org/fast/800781;http://id.worldcat.org/fast/1088711;http://id.worldcat.org/fast/878993,Iowa,http://id.worldcat.org/fast/1205835,,,,18.0 x 23.0 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1905,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_4,extensionoutreach4,extensionoutreach,simple,,0,16-05-E_Extension_1444-02-001.tif,16-05-e_extension_1444-02-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-05-e_extension_1444-02-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/16-05-e_extension_1444-02-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/16-05-e_extension_1444-02-001_th.jpg,,,,,Requests for short courses,https://n2t.net/ark:/87292/w92w7j,,,RS 16/5,Iowa State University. Office of Continuing Education records,https://n2t.net/ark:/87292/w9s21h,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,Short Course 1902-1908.,,eng;zxx,1900s,,,Iowa State University. University Extension,http://id.loc.gov/authorities/names/n88655482,Agricultural education;Agricultural extension work,http://id.worldcat.org/fast/800702;http://id.worldcat.org/fast/800781,Iowa,http://id.worldcat.org/fast/1205835,,,,15.9 x 23 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1902/1908,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_5,extensionoutreach5,extensionoutreach,simple,,0,16-01-A_Taff_1319-01-015.tif,16-01-a_taff_1319-01-015.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-01-a_taff_1319-01-015.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/16-01-a_taff_1319-01-015_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/16-01-a_taff_1319-01-015_th.jpg,,,,,Paul C. Taff,https://n2t.net/ark:/87292/w9z35x,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"Paul C. Taff, acting director of extension summer of 1914.",,eng;zxx,1910s,,,Iowa State College;Iowa State University;Iowa State University. University Extension,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n81041658;http://id.loc.gov/authorities/names/n88655482,,,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,16.9 x 12 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1914,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_6,extensionoutreach6,extensionoutreach,simple,,0,09-09-003_ICIA_0024-007-001.tif,09-09-003_icia_0024-007-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/09-09-003_icia_0024-007-001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/09-09-003_icia_0024-007-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/09-09-003_icia_0024-007-001_th.jpg,,,,,Corn yield test,https://n2t.net/ark:/87292/w9td2n,,,RS 9/9/3,Iowa Crop Improvement Association records,https://n2t.net/ark:/87292/w9vb75,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa Crop Improvement Association,http://id.loc.gov/authorities/names/no00083002,,,,,,,,,"A set of two photographs depicting the harvesting and planting of corn for the corn yield tests. The first photograph shows two men harvesting corn, and the second shows seven men planting corn for the new corn yield test. Text on the page reads: Harvesting corn from corn yield test. Planting corn for corn yield test.",,eng;zxx,1910s,,,Iowa State College;Iowa State University;Iowa State University. University Extension,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n81041658;http://id.loc.gov/authorities/names/n88655482,Agricultural education;Agricultural extension work;Agriculture;Farms;Crops;Corn,http://id.worldcat.org/fast/800702;http://id.worldcat.org/fast/800781;http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/921422;http://id.worldcat.org/fast/883965;http://id.worldcat.org/fast/878993,Iowa,http://id.worldcat.org/fast/1205835,,,,11.1 x 10.2 cm;5.7 x 10.2 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1918,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_7,extensionoutreach7,extensionoutreach,simple,,0,16-05-F_Extension_1450-07-003.tif,16-05-f_extension_1450-07-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/16-05-f_extension_1450-07-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/16-05-f_extension_1450-07-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/16-05-f_extension_1450-07-003_th.jpg,,,,,Attendees of a short course,https://n2t.net/ark:/87292/w9pm0q,,,RS 16/5,Iowa State University. Office of Continuing Education records,https://n2t.net/ark:/87292/w9s21h,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Holden, P. G. (Perry Greeley), 1865-1959",http://id.loc.gov/authorities/names/n91089773,,,,,,,,,,,"Avoca, January 13-18, 1908;Short course pictures--Perry G. Holden.",,eng;zxx,1900s,,,Iowa State University. University Extension,http://id.loc.gov/authorities/names/n88655482,,,Iowa--Pottawattamie County,http://id.worldcat.org/fast/1220716,,,,12 x 17.5 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1908,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_8,extensionoutreach8,extensionoutreach,simple,,0,09-09-003_ICIA_0024-007-003.tif,09-09-003_icia_0024-007-003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/09-09-003_icia_0024-007-003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/09-09-003_icia_0024-007-003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/09-09-003_icia_0024-007-003_th.jpg,,,,,Corn breeding,https://n2t.net/ark:/87292/w9jw7w,,,RS 9/9/3,Iowa Crop Improvement Association records,https://n2t.net/ark:/87292/w9vb75,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"Corn Breeding. In The Crossing Plot. The Remnants Of The Best Mother Ears Of The Ear-to-row Plot Of The Preceding Year Are Crossed And The Progeny From The Best Crosses Selected For Multiplying;ICIA, c. 1918-1920.",,eng;zxx,1910s,,,Iowa State University. University Extension,http://id.loc.gov/authorities/names/n88655482,Agricultural education;Agricultural extension work;Agriculture;Corn;Farms;Hybrid corn,http://id.worldcat.org/fast/800702;http://id.worldcat.org/fast/800781;http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/878993;http://id.worldcat.org/fast/921422;http://id.worldcat.org/fast/964503,Iowa,http://id.worldcat.org/fast/1205835,,,,9.5 x 15.1 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1918,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
ExtensionOutreach_9,extensionoutreach9,extensionoutreach,simple,,0,09-09-003_ICIA_0024-007-002.tif,09-09-003_icia_0024-007-002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/09-09-003_icia_0024-007-002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/small/09-09-003_icia_0024-007-002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/extensionoutreach/thumbs/09-09-003_icia_0024-007-002_th.jpg,,,,,Farmers' variety test,https://n2t.net/ark:/87292/w9f34w,,,RS 9/9/3,Iowa Crop Improvement Association records,https://n2t.net/ark:/87292/w9vb75,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"This photograph shows the farmers' variety test plot and several individuals examining the rows. The caption on the photograph reads: ""Farmers' Variety Test. The Farmers And Their Families Are Reading On The Cards The Name Of The Man Who Furnished The Seed For Each Row And the Yield Which The Corn Made."" ICIA. c. 1918-1920.",,eng;zxx,1910s,,,Iowa State University. University Extension,http://id.loc.gov/authorities/names/n88655482,Agricultural education;Agricultural extension work;Agriculture;Farms;Corn,http://id.worldcat.org/fast/800702;http://id.worldcat.org/fast/800781;http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/921422;http://id.worldcat.org/fast/878993,Iowa,http://id.worldcat.org/fast/1205835,,,,10 x 15.1 cm,,,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1918,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Extension and Outreach collection,https://n2t.net/ark:/87292/w9rx93d0g,,,reformatted digital
