legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
Ink_b11f13i1,inkb11f13i1,ink,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f013i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f013i001_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/pdf/inkb11f13i1.pdf,"Richard Nixon memorandum regarding federal agency field office structures, March 27, 1969",https://n2t.net/ark:/87292/w9c24qt1v,,,,RS 21/7/241,Dwight Ink papers,,https://n2t.net/ark:/87292/w9br5w,"Series 5, U.S. Office of Management and Budget, 1961-2002","Nixon memorandum regarding federal agency field office structure, 1969",11,13,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,,,,,,,,,,,,,,,eng,1960s,"Shultz, George P., 1920-2021;Finch, Robert H. (Robert Hutchinson), 1925-1995;Romney, George W., 1907-1995;Harding, Bertrand M. (Bertrand Morrison), 1919-2002;Sandoval, Hilary J., 1930-",http://id.loc.gov/authorities/names/n50022917;http://id.loc.gov/authorities/names/n87910240;http://id.loc.gov/authorities/names/n50048290;http://id.loc.gov/authorities/names/n2018012063;http://id.loc.gov/authorities/names/no99073859,,,Administrative agencies--Location;Administrative agencies--Management;Boundaries,http://id.worldcat.org/fast/796776;http://id.worldcat.org/fast/796777;http://id.worldcat.org/fast/837076,United States,http://id.worldcat.org/fast/1204155,,,,,,,3 pages,,,memorandums,http://vocab.getty.edu/aat/300026906,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1969-03-27,2021-05-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital; Digitized with Plustek OpticBook A300,
Ink_b11f13i1_1,inkb11f13i1c1,ink,child,inkb11f13i1,1,RS021-007-241b011f013i001.tif,rs021-007-241b011f013i001.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b011f013i001.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f013i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f013i001_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb11f13i1c1.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb11f13i1c1.txt,,,Page 1,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b11f13i1_2,inkb11f13i1c2,ink,child,inkb11f13i1,2,RS021-007-241b011f013i002.tif,rs021-007-241b011f013i002.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b011f013i002.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f013i002_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f013i002_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb11f13i1c2.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb11f13i1c2.txt,,,Page 2,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b11f13i1_3,inkb11f13i1c3,ink,child,inkb11f13i1,3,RS021-007-241b011f013i003.tif,rs021-007-241b011f013i003.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b011f013i003.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f013i003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f013i003_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb11f13i1c3.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb11f13i1c3.txt,,,Page 3,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b11f13i2,inkb11f13i2,ink,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f013i004_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f013i004_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/pdf/inkb11f13i2.pdf,"Richard Nixon memorandum regarding federal field delegations, March 27, 1969",https://n2t.net/ark:/87292/w9794107w,,,,RS 21/7/241,Dwight Ink papers,,https://n2t.net/ark:/87292/w9br5w,"Series 5, U.S. Office of Management and Budget, 1961-2002","Nixon memorandum regarding federal agency field office structure, 1969",11,13,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Nixon, Richard M. (Richard Milhous), 1913-1994",http://id.loc.gov/authorities/names/n79018757,,,,,,,,,,,,,,,eng,1960s,"Hardin, Clifford M. (Clifford Morris), 1915-2010;Stans, Maurice H., 1908-1998;Finch, Robert H. (Robert Hutchinson), 1925-1995;Romney, George W., 1907-1995;Shultz, George P., 1920-2021;Volpe, John A.;Mitchell, John N. (John Newton), 1913-1988;Harding, Bertrand M. (Bertrand Morrison), 1919-2002;Sandoval, Hilary J., 1930-;Boe, Nils A. (Nils Andreas), 1913-1992",http://id.loc.gov/authorities/names/n84031087;http://id.loc.gov/authorities/names/n84161337;http://id.loc.gov/authorities/names/n87910240;http://id.loc.gov/authorities/names/n50048290;http://id.loc.gov/authorities/names/n50022917;http://id.loc.gov/authorities/names/n86007981;http://id.loc.gov/authorities/names/no95012131;http://id.loc.gov/authorities/names/n2018012063;http://id.loc.gov/authorities/names/no99073859;http://id.loc.gov/authorities/names/no2005100636,,,Administrative agencies--Management;Interagency coordination;Decentralization in government,http://id.worldcat.org/fast/796777;http://id.worldcat.org/fast/1739579;http://id.worldcat.org/fast/888948,United States,http://id.worldcat.org/fast/1204155,,,,,,,2 pages,,,memorandums,http://vocab.getty.edu/aat/300026906,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1969-03-27,2021-05-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital; Digitized with Plustek OpticBook A300,
Ink_b11f13i2_1,inkb11f13i2c1,ink,child,inkb11f13i2,1,RS021-007-241b011f013i004.tif,rs021-007-241b011f013i004.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b011f013i004.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f013i004_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f013i004_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb11f13i2c1.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb11f13i2c1.txt,,,Page 1,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b11f13i2_2,inkb11f13i2c2,ink,child,inkb11f13i2,2,RS021-007-241b011f013i005.tif,rs021-007-241b011f013i005.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b011f013i005.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f013i005_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f013i005_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb11f13i2c2.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb11f13i2c2.txt,,,Page 2,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b11f1i1,inkb11f1i1,ink,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f001i006_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f001i006_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/pdf/inkb11f1i1.pdf,Condensed summary statement,https://n2t.net/ark:/87292/w9mk65d9t,,,,RS 21/7/241,Dwight Ink papers,,https://n2t.net/ark:/87292/w9br5w,"Series 5, U.S. Office of Management and Budget, 1961-2002","International City Managers Association intergovernmental programs survey summary, 1966-1967",11,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,International City Managers' Association,http://id.loc.gov/authorities/names/n80009793,,,,,,,,,,,eng,1960s,,,,,City managers;Municipal government by city manager;Federal-city relations,http://id.worldcat.org/fast/862145;http://id.worldcat.org/fast/1029362;http://id.worldcat.org/fast/922369,United States,http://id.worldcat.org/fast/1204155,,,,,,,5 pages,,,questionnaires,http://vocab.getty.edu/aat/300027265,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1966-12-16,2021-05-17,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital; Digitized with Plustek OpticBook A300,
Ink_b11f1i1_1,inkb11f1i1c1,ink,child,inkb11f1i1,1,RS021-007-241b011f001i006.tif,rs021-007-241b011f001i006.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b011f001i006.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f001i006_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f001i006_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb11f1i1c1.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb11f1i1c1.txt,,,Page 1,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,"Annotation: ""1-11-67""",,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
Ink_b11f1i1_2,inkb11f1i1c2,ink,child,inkb11f1i1,2,RS021-007-241b011f001i001.tif,rs021-007-241b011f001i001.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/rs021-007-241b011f001i001.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/ink/small/rs021-007-241b011f001i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/thumbs/rs021-007-241b011f001i001_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/ink/ocr/inkb11f1i1c2.txt,https://digitalcollections.lib.iastate.edu/digital-objects/ink/hocr/inkb11f1i1c2.txt,,,Page 2,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Dwight Ink collection,https://n2t.net/ark:/87292/w9sj19q9t,,,reformatted digital,
