legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
IowaSeedCatalogs_1597,iowaseedcatalogs1597,iowaseedcatalogs,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_01_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_01_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/pdf/iowaseedcatalogs1597.pdf,"Dorr's Iowa seeds manual, 1881",https://n2t.net/ark:/87292/w9560x,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,C.W. Dorr and Co.,,,,,,,,,,,,eng;zxx,1880s,,,,,Seeds--Catalogs and collections;Seed industry and trade;Nursery stock;Nurseries (Horticulture);Horticulture;Gardening;Fruit-culture;Flowers,http://id.worldcat.org/fast/1111114;http://id.worldcat.org/fast/1111054;http://id.worldcat.org/fast/1041603;http://id.worldcat.org/fast/1041509;http://id.worldcat.org/fast/960791;http://id.worldcat.org/fast/937852;http://id.worldcat.org/fast/935739;http://id.worldcat.org/fast/927866,Iowa--Polk County,http://id.worldcat.org/fast/1216376,,,,,,,37 pages,,,mail order catalogs,http://vocab.getty.edu/aat/300026070,Text;Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1881,2010-12-16,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital; Digitized with Manager's Power Mac G5;Mac OS X;Creo iQsmart3;Kodak oXYgen Scan ver 2.6.1,
IowaSeedCatalogs_1560,iowaseedcatalogs1560,iowaseedcatalogs,child,iowaseedcatalogs1597,1,SB115-D65-1881_01.tif,sb115-d65-1881_01.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_01.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_01_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_01_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/ocr/iowaseedcatalogs1560.txt,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/hocr/iowaseedcatalogs1560.txt,,,Cover,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
IowaSeedCatalogs_1561,iowaseedcatalogs1561,iowaseedcatalogs,child,iowaseedcatalogs1597,2,SB115-D65-1881_02.tif,sb115-d65-1881_02.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_02.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_02_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_02_th.jpg,,,,,Page I,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
IowaSeedCatalogs_1562,iowaseedcatalogs1562,iowaseedcatalogs,child,iowaseedcatalogs1597,3,SB115-D65-1881_03.tif,sb115-d65-1881_03.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_03.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_03_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_03_th.jpg,,,,,Page 1a,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
IowaSeedCatalogs_1563,iowaseedcatalogs1563,iowaseedcatalogs,child,iowaseedcatalogs1597,4,SB115-D65-1881_03a.tif,sb115-d65-1881_03a.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_03a.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_03a_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_03a_th.jpg,,,,,Page 1,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
IowaSeedCatalogs_1564,iowaseedcatalogs1564,iowaseedcatalogs,child,iowaseedcatalogs1597,5,SB115-D65-1881_04.tif,sb115-d65-1881_04.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_04.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_04_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_04_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/ocr/iowaseedcatalogs1564.txt,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/hocr/iowaseedcatalogs1564.txt,,,Page 2,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
IowaSeedCatalogs_1565,iowaseedcatalogs1565,iowaseedcatalogs,child,iowaseedcatalogs1597,6,SB115-D65-1881_05.tif,sb115-d65-1881_05.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_05.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_05_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_05_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/ocr/iowaseedcatalogs1565.txt,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/hocr/iowaseedcatalogs1565.txt,,,Page 3,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
IowaSeedCatalogs_1566,iowaseedcatalogs1566,iowaseedcatalogs,child,iowaseedcatalogs1597,7,SB115-D65-1881_06.tif,sb115-d65-1881_06.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_06.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_06_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_06_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/ocr/iowaseedcatalogs1566.txt,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/hocr/iowaseedcatalogs1566.txt,,,Page 4,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
IowaSeedCatalogs_1567,iowaseedcatalogs1567,iowaseedcatalogs,child,iowaseedcatalogs1597,8,SB115-D65-1881_07.tif,sb115-d65-1881_07.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_07.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_07_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_07_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/ocr/iowaseedcatalogs1567.txt,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/hocr/iowaseedcatalogs1567.txt,,,Page 5,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
IowaSeedCatalogs_1568,iowaseedcatalogs1568,iowaseedcatalogs,child,iowaseedcatalogs1597,9,SB115-D65-1881_08.tif,sb115-d65-1881_08.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/sb115-d65-1881_08.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/small/sb115-d65-1881_08_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/thumbs/sb115-d65-1881_08_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/ocr/iowaseedcatalogs1568.txt,https://digitalcollections.lib.iastate.edu/digital-objects/iowaseedcatalogs/hocr/iowaseedcatalogs1568.txt,,,Page 6,,,,,MS 393,Iowa Seed and Nursery Pamphlets collection,,https://n2t.net/ark:/87292/w9xf39,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa seed and nursery pamphlets collection,https://n2t.net/ark:/87292/w9br8mg17,,,reformatted digital,
