legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes,addition_set
,isudirectories068,isudirectories,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c001_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/pdf/isudirectories001.pdf,"Students' directory: spring semester, 1901",https://n2t.net/ark:/87292/w91r6n73x,,,,LD2538 I58x,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,,,,,"This directory from Iowa State College for the spring 1901 semester contains an alphabetized list of students' names and their residence locations, and advertisements from Ames-area businesses directed at students.",,eng,1900s,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,College students,http://id.worldcat.org/fast/867976,Iowa--Ames,http://id.worldcat.org/fast/1207548,42.03637,-93.69834,WGS 84,removed staples,,,68 pages,,,directories,https://vocab.getty.edu/aat/300026234,Text,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1901,2025-05-01,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories000,isudirectories,child,isudirectories068,1,isudirectories001_c001.tif,isudirectories001_c001.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c001.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c001_th.jpg,,,,,Front cover,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories001,isudirectories,child,isudirectories068,2,isudirectories001_c002.tif,isudirectories001_c002.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c002.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c002_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c002_th.jpg,,,,,Inside cover,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories002,isudirectories,child,isudirectories068,3,isudirectories001_c003.tif,isudirectories001_c003.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c003.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c003_th.jpg,,,,,Page 1,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories003,isudirectories,child,isudirectories068,4,isudirectories001_c004.tif,isudirectories001_c004.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c004.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c004_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c004_th.jpg,,,,,Page 2,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories004,isudirectories,child,isudirectories068,5,isudirectories001_c005.tif,isudirectories001_c005.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c005.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c005_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c005_th.jpg,,,,,Page 3,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories005,isudirectories,child,isudirectories068,6,isudirectories001_c006.tif,isudirectories001_c006.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c006.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c006_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c006_th.jpg,,,,,Page 4,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories006,isudirectories,child,isudirectories068,7,isudirectories001_c007.tif,isudirectories001_c007.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c007.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c007_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c007_th.jpg,,,,,Page 5,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories007,isudirectories,child,isudirectories068,8,isudirectories001_c008.tif,isudirectories001_c008.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c008.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c008_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c008_th.jpg,,,,,Page 6,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
,isudirectories008,isudirectories,child,isudirectories068,9,isudirectories001_c009.tif,isudirectories001_c009.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/isudirectories001_c009.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/small/isudirectories001_c009_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/isudirectories/thumbs/isudirectories001_c009_th.jpg,,,,,Page 7,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa State University Directories,https://n2t.net/ark:/87292/w9q81505f,,,reformatted digital; Digitized with Plustek OpticBook A300,,Batch01
