legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
KitchenKlatter_15882,kitchenklatter15882,kitchenklatter,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-003_th.jpg,,,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/pdf/kitchenklatter15882.pdf,"Kitchen-Klatter v. 05, n. 01, 1940",https://n2t.net/ark:/87292/w90569,,,,TX1 K57x,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Driftmier, Leanna Field, 1937-1986",http://id.loc.gov/authorities/names/no2009195688,,,Driftmier Pub. Co.,,,,,,,,,,"Kitchen-Klatter began as a half-hour radio show with Leanna Driftmier sharing household tips, recipes, and childrearing advice among other topics. The radio show aired from 1926 to 1986, making it the longest-running homemaker program in the history of radio. Kitchen-Klatter magazine was issued monthly from 1936 to 1986 and at one point had a circulation of 150,000. (Issue for January 1940 is missing pages 1-2.)",,eng,,Driftmier family,,,,Home economics;Country life;Families;Cooking,http://id.worldcat.org/fast/959173;http://id.worldcat.org/fast/881405;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1754966,Iowa,http://id.worldcat.org/fast/1205835,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1940-01,2011-05-19,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,Iowa Cookbook Collection,https://n2t.net/ark:/87292/w94b2xb69,reformatted digital; Digitized with Dell OptiPlex GX280; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,
KitchenKlatter_15868,kitchenklatter15868,kitchenklatter,child,kitchenklatter15882,1,TX1-K57x-v-05-n-01-003.tif,tx1-k57x-v-05-n-01-003.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-003.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-003_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15868.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15868.txt,,,Page 3,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
KitchenKlatter_15869,kitchenklatter15869,kitchenklatter,child,kitchenklatter15882,2,TX1-K57x-v-05-n-01-004.tif,tx1-k57x-v-05-n-01-004.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-004.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-004_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-004_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15869.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15869.txt,,,Page 4,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
KitchenKlatter_15870,kitchenklatter15870,kitchenklatter,child,kitchenklatter15882,3,TX1-K57x-v-05-n-01-005.tif,tx1-k57x-v-05-n-01-005.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-005.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-005_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-005_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15870.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15870.txt,,,Page 5,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
KitchenKlatter_15871,kitchenklatter15871,kitchenklatter,child,kitchenklatter15882,4,TX1-K57x-v-05-n-01-006.tif,tx1-k57x-v-05-n-01-006.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-006.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-006_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-006_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15871.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15871.txt,,,Page 6,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
KitchenKlatter_15872,kitchenklatter15872,kitchenklatter,child,kitchenklatter15882,5,TX1-K57x-v-05-n-01-007.tif,tx1-k57x-v-05-n-01-007.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-007.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-007_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-007_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15872.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15872.txt,,,Page 7,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
KitchenKlatter_15873,kitchenklatter15873,kitchenklatter,child,kitchenklatter15882,6,TX1-K57x-v-05-n-01-008.tif,tx1-k57x-v-05-n-01-008.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-008.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-008_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-008_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15873.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15873.txt,,,Page 8,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
KitchenKlatter_15874,kitchenklatter15874,kitchenklatter,child,kitchenklatter15882,7,TX1-K57x-v-05-n-01-009.tif,tx1-k57x-v-05-n-01-009.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-009.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-009_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-009_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15874.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15874.txt,,,Page 9,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
KitchenKlatter_15875,kitchenklatter15875,kitchenklatter,child,kitchenklatter15882,8,TX1-K57x-v-05-n-01-010.tif,tx1-k57x-v-05-n-01-010.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-010.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-010_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-010_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15875.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15875.txt,,,Page 10,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
KitchenKlatter_15876,kitchenklatter15876,kitchenklatter,child,kitchenklatter15882,9,TX1-K57x-v-05-n-01-011.tif,tx1-k57x-v-05-n-01-011.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/tx1-k57x-v-05-n-01-011.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/small/tx1-k57x-v-05-n-01-011_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/thumbs/tx1-k57x-v-05-n-01-011_th.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/ocr/kitchenklatter15876.txt,https://digitalcollections.lib.iastate.edu/digital-objects/kitchenklatter/hocr/kitchenklatter15876.txt,,,Page 11,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-32 pages/issue; 28 x 21 cm,,,serials (publications),http://vocab.getty.edu/aat/300026642,,image/jpeg,,,,,,,continuing,1937,1986,Monthly,Kitchen-klatter magazine issues,https://n2t.net/ark:/87292/w9804xj71,,,reformatted digital,
