legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes,addition_set
UniversityPhotographs_0,universityphotographs0,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-1-1.tif,22-12-g_veishea_1722-1-1.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-1-1.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-1-1_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-1-1_th.jpg,,,,,1922 VEISHEA,https://n2t.net/ark:/87292/w9n29pb5g,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"The Nite Show event which was renamed ""Stars Over VEISHEA"" started out as student written and student performed musical. Student performers are shown in Scandals of 1922.",,zxx,,,,Iowa State University;VEISHEA (Festival),http://id.loc.gov/authorities/names/n81041658;http://id.loc.gov/authorities/names/no2024017886,Student activities,http://id.worldcat.org/fast/1135799,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,24.1 x 15.2 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1922,2005-10-24,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_1,universityphotographs1,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-3-2.tif,22-12-g_veishea_1722-3-2.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-3-2.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-3-2_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-3-2_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w9bn9x30w,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"A 1923 VEISHEA Chemistry float. The horse-drawn float is mounted on a flat bed wagon. Viewed from behind, Margaret Hall can be seen in the background. See photographs 1722-3-3 and 1722-3-4 for other views of the same float.",,zxx,,,,Iowa State University;VEISHEA (Festival),http://id.loc.gov/authorities/names/n81041658;http://id.loc.gov/authorities/names/no2024017886,Student activities;Chemistry,http://id.worldcat.org/fast/1135799;http://id.worldcat.org/fast/853344,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,12.7 x 11.4 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-10,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_5,universityphotographs5,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-3-6.tif,22-12-g_veishea_1722-3-6.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-3-6.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-3-6_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-3-6_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w96w96870,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"A 1923 VEISHEA horse-drawn float from the Department of Agriculture. ""The Magic of Milk"" is printed on the side of the float. Men in their dairying uniforms stand beside the float upon which seven women are seated. One woman has a child in her lap and the others are holding signs: ""Growth,"" ""Beauty,"" Laughter,"" and ""Health."" The float is topped with a giant milk bottle. See photograph 1722-3-5 for another view of the same float.",,zxx,,,,Iowa State University;VEISHEA (Festival),http://id.loc.gov/authorities/names/n81041658;http://id.loc.gov/authorities/names/no2024017886,Student activities;Agriculture,http://id.worldcat.org/fast/1135799;http://id.worldcat.org/fast/801355,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,24.1 x 19.1 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-10,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_6,universityphotographs6,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-3-1.tif,22-12-g_veishea_1722-3-1.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-3-1.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-3-1_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-3-1_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w9348gg35,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"A 1923 VEISHEA float from the Department of Chemical Engineering. One student is sitting on the float which is covers with branches and topped with a large ""cow."" The sign reads: ""Chemical Engineers Improved Cow."".",,zxx,,,,Iowa State University;VEISHEA (Festival),http://id.loc.gov/authorities/names/n81041658;http://id.loc.gov/authorities/names/no2024017886,Student activities;Chemical engineering,http://id.worldcat.org/fast/1135799;http://id.worldcat.org/fast/852893,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,16.5 x11.7 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-20,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_7,universityphotographs7,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-3-7.tif,22-12-g_veishea_1722-3-7.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-3-7.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-3-7_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-3-7_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w9zc7rt7p,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"A 1923 horse-drawn float from the Education Department. Two horses are pulling a flatbed wagon with a tiered platform with the words ""health,"" ""citizenship,"" ""life work,"" ""use of leisure,"" and ""citizens in making."" Girls sit in chair on the corners of the float.",,zxx,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Student activities;Education,http://id.worldcat.org/fast/1135799;http://id.worldcat.org/fast/902499,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,16.8 x 11.7 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-10,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_8,universityphotographs8,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-3-8.tif,22-12-g_veishea_1722-3-8.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-3-8.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-3-8_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-3-8_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w9tm7212v,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"A banner with ""King Tut Modernized AIEE"" (American Institute of Electrical Engineers) is hung on the side of this float. There are three male students aboard, with various items including a fan and speaker.",,zxx,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Student activities;Electrical engineering,http://id.worldcat.org/fast/1135799;http://id.worldcat.org/fast/1728596,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,16.5 x 12.1 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-24,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_9,universityphotographs9,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-3-9.tif,22-12-g_veishea_1722-3-9.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-3-9.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-3-9_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-3-9_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w9pv6b683,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,A motorized vehicle float from the Department of Electrical Engineering. Morrill Hall can be seen in the background.,,zxx,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Student activities,http://id.worldcat.org/fast/1135799,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,17.1 x 12.1 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-24,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_10,universityphotographs10,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-4-2.tif,22-12-g_veishea_1722-4-2.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-4-2.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-4-2_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-4-2_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w9k649s7k,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,Man on draft horse wearing military uniform with tam and kilt. Period cars are visible in the background. See photograph 1722-4-1 for another views.,,zxx,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Student activities;Military art and science,http://id.worldcat.org/fast/1135799;http://id.worldcat.org/fast/1020874,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,17.1 x 12.1 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-11,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_14,universityphotographs14,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-4-5.tif,22-12-g_veishea_1722-4-5.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-4-5.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-4-5_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-4-5_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w9ff3m04b,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"1923 automobile float with banner ""Guard of St Patrick. Ames Chapter Iowa State College."".",,zxx,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,Student activities,http://id.worldcat.org/fast/1135799,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,17.1 x 12.1 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-12,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
UniversityPhotographs_20,universityphotographs20,universityphotographs,simple,,0,22-12-G_VEISHEA_1722-2-3.tif,22-12-g_veishea_1722-2-3.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/22-12-g_veishea_1722-2-3.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/small/22-12-g_veishea_1722-2-3_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/universityphotographs/thumbs/22-12-g_veishea_1722-2-3_th.jpg,,,,,1923 VEISHEA,https://n2t.net/ark:/87292/w99p2w606,,,,RS 22/12,"Iowa State University. VEISHEA records, 1922-2014, undated",,https://n2t.net/ark:/87292/w9b81j,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,,,,,,,,,"A 1923 horse-drawn VEISHEA Animal Husbandry float. The sign reads: ""Livestock-Judgement Selection Profits."" See photograph 1722-2-2 for another view of the same float. ""FILEPRINT NOT TO BE REMOVED FROM THIS FILE"" has been stamped in ink.",,zxx,,,,Iowa State University;VEISHEA (Festival),http://id.loc.gov/authorities/names/n81041658;http://id.loc.gov/authorities/names/no2024017886,Student activities;Livestock,http://id.worldcat.org/fast/1135799;http://id.worldcat.org/fast/1000722,Iowa--Story County;Iowa,http://id.worldcat.org/fast/1221286;http://id.worldcat.org/fast/1205835,,,,,,,23.5 x 15.2 cm,,,photographs,https://vocab.getty.edu/aat/300046300,Image,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1923,2005-10-07,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University photographs,https://n2t.net/ark:/87292/w9610vr73,,,reformatted digital,,
