objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
,usls,video,,0,Oral History-20230504 1838-2.mp4,oral_history-20230504_1838-2.mp4,https://iastate.aviaryplatform.com/collections/2981/collection_resources/135076,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/usls377xcardimage_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/usls377xcardimage_th.jpg,,,Interview with Kimberly Inarito-Rodriguez,https://n2t.net/ark:/87292/w9251fs4n,135076,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Inarito-Rodriguez, Kimberly",,"Garcia, Alexa",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Alexa Garcia with Kimberly Inarito-Rodriguez for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,spa; eng,2020s,,,,,Mexican Americans; Students; Student activities; COVID-19 Pandemic (2020-),http://id.worldcat.org/fast/1019072; http://id.worldcat.org/fast/1136041; http://id.worldcat.org/fast/1135799; http://id.worldcat.org/fast/2024716,Iowa,http://id.worldcat.org/fast/1205835,,,,,No captions; No transcript,https://digital.lib.iastate.edu/isulv/items/access004.html; https://digital.lib.iastate.edu/isulv/items/access009.html,00:32:46,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives. Copyright © Kimberly Inarito-Rodriguez, 2024",https://creativecommons.org/licenses/by-nc/4.0/,2023-05-04,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
uslsav02,usls,video,,0,ENGL 377- Oral History.mp4,engl_377-_oral_history.mp4,https://iastate.aviaryplatform.com/c/USLS_AV02,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/usls377xcardimage_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/usls377xcardimage_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/annalyce-boyd-transcript.txt,,Interview with Amanda Zarazua,https://n2t.net/ark:/87292/w9xd0r492,135077,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Zarazua, Amanda",,"Boyd, Annalyce",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Annalyce Boyd with Amanda Zarazua for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,Autistic people; Students; Student learning communities; COVID-19 Pandemic (2020-),http://id.worldcat.org/fast/1756661; http://id.worldcat.org/fast/1136041; http://id.worldcat.org/fast/2023101; http://id.worldcat.org/fast/2024716,Iowa,http://id.worldcat.org/fast/1205835,,,,,Captions—available; Transcript—available,https://digital.lib.iastate.edu/isulv/items/access001.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:17:50,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for educational uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2024-04-17,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
,usls,video,,0,Flanigan Parrott's meeting-20240418 2128-2.mp4,flanigan_parrott's_meeting-20240418_2128-2.mp4,https://iastate.aviaryplatform.com/c/USLS_AV03,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/usls377xcardimage_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/usls377xcardimage_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/flanigan_parrott_meeting-20240418_2128-2_otter_ai.txt,,Interview with Rosita Victorino-Cansino,https://n2t.net/ark:/87292/w9sq8qq8p,135078,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Victorino-Cansino, Rosita",,"Parrott, Flanigan Michael",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Flanigan Parrott with Rosita Victorino-Cansino for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,Mexican Americans; Bilingualism; Greek letter societies; Citizenship,http://id.worldcat.org/fast/1019072; http://id.worldcat.org/fast/831739; http://id.worldcat.org/fast/947430; http://id.worldcat.org/fast/861909,Iowa,http://id.worldcat.org/fast/1205835,,,,,Captions—available; Transcript—available,https://digital.lib.iastate.edu/isulv/items/access001.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:26:10,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2024-04-18,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
uslsav04,usls,video,,0,oral history interview.mp4,oral_history_interview.mp4,https://iastate.aviaryplatform.com/c/USLS_AV04,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/photo_from_u.s._latinoa_studies_department_webpage_on_5.1_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/photo_from_u.s._latinoa_studies_department_webpage_on_5.1_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/olivia-garcia-oralhistory-trancript-1-cleaned.txt,,Interview with Bonar Hernández Sandoval,https://n2t.net/ark:/87292/w9nz80x4x,135079,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Hernández Sandoval, Bonar L., 1979-",http://id.loc.gov/authorities/names/n2018068943,"Garcia, Oliva",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Oliva Garcia with Bonar Hernández Sandoval for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,Guatemalan Americans; Emigration and immigration--Social aspects; History,http://id.worldcat.org/fast/948856; http://id.worldcat.org/fast/908722; http://id.worldcat.org/fast/958235,Iowa; Guatemala,http://id.worldcat.org/fast/1205835; http://id.worldcat.org/fast/1205154,,,,,Captions—available; Transcript—available,https://digital.lib.iastate.edu/isulv/items/access001.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:49:13,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for educational uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2024-04-17,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
uslsav05,usls,video,,0,JOE GONZALEZ - ORAL HISTORY FINAL - OSCAR DE AVILA.mp4,joe_gonzalez_-_oral_history_final_-_oscar_de_avila.mp4,https://iastate.aviaryplatform.com/c/USLS_AV05,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/usls377xcardimage_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/usls377xcardimage_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/final_oral-history-transcript_oscar-de-avila.txt,,Interview with Joe Gonzalez,https://n2t.net/ark:/87292/w9j679410,135080,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Gonzalez, Joe Anthony",,"De Ávila, Oscar",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Oscar de Avila with Joe Gonzalez for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,Mexican Americans; Education; COVID-19 Pandemic (2020-); Police,http://id.worldcat.org/fast/1019072; http://id.worldcat.org/fast/902499; http://id.worldcat.org/fast/2024716; http://id.worldcat.org/fast/1068398,Iowa,http://id.worldcat.org/fast/1205835,,,,,No captions; Transcript—Available,https://digital.lib.iastate.edu/isulv/items/access004.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:43:36,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2024-04-30,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
uslsav06,usls,video,,0,Oral History-20240410 0034-1 (1).mp4,oral_history-20240410_0034-1_(1).mp4,https://iastate.aviaryplatform.com/c/USLS_AV06,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/usls377xcardimage_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/usls377xcardimage_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/priscilla-zolo_transcript.txt,,Interview with Priscilla Rebollozo,https://n2t.net/ark:/87292/w9df6k977,135081,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Rebollozo, Priscilla",,"Varricchio, Mia",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Mia Varricchio with Priscilla Rebollozo for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,Students; Student activities; Greek letter societies,http://id.worldcat.org/fast/1136041; http://id.worldcat.org/fast/1135799; http://id.worldcat.org/fast/947430,Iowa,http://id.worldcat.org/fast/1205835,,,,,Captions—available; Transcript—available,https://digital.lib.iastate.edu/isulv/items/access001.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:42:22,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for educational uses. For other uses, please obtain permission from Priscilla Rebollozo.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2024-04-09,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
uslsav07,usls,video,,0,Amanda Zarazua Personal Room-20240422 2315-1.mp4,amanda_zarazua_personal_room-20240422_2315-1.mp4,https://iastate.aviaryplatform.com/c/USLS_AV07,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/august_30th_2023_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/august_30th_2023_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/marlin-garcia-sandoval-interview-transcription.txt,,Interview with Marlin Garcia Sandoval,https://n2t.net/ark:/87292/w98p5vh33,135082,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Garcia Sandoval, Marlin",,"Zarazua, Amanda",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Amanda Zarazua with Marlin Garcia Sandoval for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,Students; COVID-19 Pandemic (2020-); Student activities; Teaching,http://id.worldcat.org/fast/1136041; http://id.worldcat.org/fast/2024716; http://id.worldcat.org/fast/1135799; http://id.worldcat.org/fast/1144565,Iowa,http://id.worldcat.org/fast/1205835,,,,,No captions; Transcript—Available,https://digital.lib.iastate.edu/isulv/items/access004.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:38:18,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for educational uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2024-04-22,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
uslsav08,usls,video,,0,uslav08.mp4,uslav08.mp4,https://iastate.aviaryplatform.com/c/USLS_AV08,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/uslsav08_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/uslsav08_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/uslav08.txt,,Interview with Maria Lopez Ramirez,https://n2t.net/ark:/87292/w90q0j,,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Lopez Ramirez, Maria",,"Wolgamuth, Henry",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Henry Wolgamuth with Maria Lopez Ramirez for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,"Families; History--Societies, etc.; English language; Mexican Americans",http://id.worldcat.org/fast/1728849; http://id.worldcat.org/fast/958293; http://id.worldcat.org/fast/910920; http://id.worldcat.org/fast/1019072,Iowa,http://id.worldcat.org/fast/1205835,,,,,Captions—available; Transcript—available,https://digital.lib.iastate.edu/isulv/items/access001.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:42:50,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2025-04-23,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
uslsav09,usls,video,,0,uslav09.mp4,uslav09.mp4,https://iastate.aviaryplatform.com/c/USLS_AV09,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/uslsav09_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/uslsav09_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/uslav09.txt,,Interview with Vanessa Chavez,https://n2t.net/ark:/87292/w90q1x,,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"Chavez, Vanessa",,"Guadarrama, Kaitlyn",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Kaitlyn Guadarrama with Vanessa Chavez for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,Students; Student activities; Teachers; English language; First-born children; COVID-19 Pandemic (2020-),http://id.worldcat.org/fast/1136041; http://id.worldcat.org/fast/1135799; http://id.worldcat.org/fast/1144248; http://id.worldcat.org/fast/910920; http://id.worldcat.org/fast/925799; http://id.worldcat.org/fast/2024716,Iowa,http://id.worldcat.org/fast/1205835,,,,,Captions—available; Transcript—available,https://digital.lib.iastate.edu/isulv/items/access001.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:39:06,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/mp4,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2025-04-24,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
uslsav10,usls,video,,0,uslav10.mov,uslav10.mov,https://iastate.aviaryplatform.com/c/USLS_AV10,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/small/uslsav10_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/thumbs/uslsav10_th.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/usls/transcripts/uslav10.txt,,Interview with Gumaro De Avila,https://n2t.net/ark:/87292/w90t1z,,,,RS 13/37/5,Latino / Latina Studies Program records,,https://n2t.net/ark:/87292/w9pk07839,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Suárez, Lucía M.",http://id.loc.gov/authorities/names/n2005066005,Women; University and college faculty members; Writers,http://id.loc.gov/authorities/demographicTerms/dg2015060358; http://id.loc.gov/authorities/demographicTerms/dg2016060024; http://id.loc.gov/authorities/demographicTerms/dg2016060292,,,"De Ávila, Gumaro",,"Squires, Katelyn",,,,Iowa State University. U.S. Latino/a Studies Program,http://id.loc.gov/authorities/names/no2024032425,"Oral history interview conducted by Katelyn Squires with Gumaro De Avila for the US Latino/a Studies Program Oral History Project, directed by Lucia M. Suarez, focused on Latinx Education in Iowa, as part of the USLS 377X Class, Latina/o/x Life Stories: Memoirs and Oral Histories.",,eng,2020s,,,,,Mexican Americans; COVID-19 Pandemic (2020-); Voluntarism; Education,http://id.worldcat.org/fast/1019072; http://id.worldcat.org/fast/2024716; http://id.worldcat.org/fast/1168976; http://id.worldcat.org/fast/902499,Iowa,http://id.worldcat.org/fast/1205835,,,,,Captions—available; Transcript—available,https://digital.lib.iastate.edu/isulv/items/access001.html; https://digital.lib.iastate.edu/isulv/items/access006.html,00:41:44,,,oral histories (literary genre),http://vocab.getty.edu/aat/300202595,Moving Image,video/quicktime,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,2025-04-23,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Latina/o/x life stories (USLS 377X) oral histories,https://n2t.net/ark:/87292/w9jw86v3d,,,born digital,
