legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,aviary_id,avian_id,uid,call_number,archival_collection,other_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,creator_characteristic,creator_characteristic_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,conservation_note,accessibility_note,accessibility_uri,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin,staff_notes
WPA_b10f10i1,wpab10f10i1,wpa,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i001_th.jpg,,,,,Photograph of the swimming pool under construction at the Spring Lake Park in Atlantic,https://n2t.net/ark:/87292/w9c24qt87,,,,MS 260,United States. Work Projects Administration (Iowa) Photographs,,https://n2t.net/ark:/87292/w91v07,"Series 2, Projects by Subject, 1933-1940, undated (alphabetical)","Stadiums and Swimming Pools. Cass County. Atlantic. Swimming Pool at Sunnyside Park. Project 2033. (5 b/w photographs), 1936-1938, undated",10,10,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,eng,1930s,,,,,Swimming pools--Design and construction,http://id.worldcat.org/fast/1140389,Iowa--Atlantic,http://id.worldcat.org/fast/1218680,,,,,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,2021-03-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i1_1,wpab10f10i1c1,wpa,child,wpab10f10i1,1,MS0260b010f010i001.tif,ms0260b010f010i001.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b010f010i001.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i001_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i001_th.jpg,,,,,Front,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i1_2,wpab10f10i1c2,wpa,child,wpab10f10i1,2,MS0260b010f010i002.tif,ms0260b010f010i002.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b010f010i002.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i002_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i002_th.jpg,,,,,Back,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i2,wpab10f10i2,wpa,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i003_th.jpg,,,,,Photograph of the swimming pool and bathhouse in Atlantic,https://n2t.net/ark:/87292/w9794114w,,,,MS 260,United States. Work Projects Administration (Iowa) Photographs,,https://n2t.net/ark:/87292/w91v07,"Series 2, Projects by Subject, 1933-1940, undated (alphabetical)","Stadiums and Swimming Pools. Cass County. Atlantic. Swimming Pool at Sunnyside Park. Project 2033. (5 b/w photographs), 1936-1938, undated",10,10,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,eng,1930s,,,,,Swimming pools;Bathhouses,http://id.worldcat.org/fast/1140385;http://id.worldcat.org/fast/828691,Iowa--Atlantic,http://id.worldcat.org/fast/1218680,,,,,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1938-05-27,2021-03-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i2_1,wpab10f10i2c1,wpa,child,wpab10f10i2,1,MS0260b010f010i003.tif,ms0260b010f010i003.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b010f010i003.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i003_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i003_th.jpg,,,,,Front,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i2_2,wpab10f10i2c2,wpa,child,wpab10f10i2,2,MS0260b010f010i004.tif,ms0260b010f010i004.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b010f010i004.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i004_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i004_th.jpg,,,,,Back,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i3,wpab10f10i3,wpa,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i005_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i005_th.jpg,,,,,Photograph of the swimming pool and bathhouse at the Sunnyside Park in Atlantic,https://n2t.net/ark:/87292/w93j3970r,,,,MS 260,United States. Work Projects Administration (Iowa) Photographs,,https://n2t.net/ark:/87292/w91v07,"Series 2, Projects by Subject, 1933-1940, undated (alphabetical)","Stadiums and Swimming Pools. Cass County. Atlantic. Swimming Pool at Sunnyside Park. Project 2033. (5 b/w photographs), 1936-1938, undated",10,10,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,eng,1930s,,,,,Swimming pools;Bathhouses,http://id.worldcat.org/fast/1140385;http://id.worldcat.org/fast/828691,Iowa--Atlantic,http://id.worldcat.org/fast/1218680,,,,,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1937-11-11,2021-03-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i3_1,wpab10f10i3c1,wpa,child,wpab10f10i3,1,MS0260b010f010i005.tif,ms0260b010f010i005.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b010f010i005.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i005_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i005_th.jpg,,,,,Front,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i3_2,wpab10f10i3c2,wpa,child,wpab10f10i3,2,MS0260b010f010i006.tif,ms0260b010f010i006.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/ms0260b010f010i006.jpg,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i006_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i006_th.jpg,,,,,Back,,,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
WPA_b10f10i4,wpab10f10i4,wpa,complex,,0,,,,,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/small/ms0260b010f010i007_sm.jpg,https://digitalcollections.lib.iastate.edu/digital-objects/wpa/thumbs/ms0260b010f010i007_th.jpg,,,,,Photograph of the swimming pool under construction at the Spring Lake Park in Atlantic,https://n2t.net/ark:/87292/w9zs2kk5r,,,,MS 260,United States. Work Projects Administration (Iowa) Photographs,,https://n2t.net/ark:/87292/w91v07,"Series 2, Projects by Subject, 1933-1940, undated (alphabetical)","Stadiums and Swimming Pools. Cass County. Atlantic. Swimming Pool at Sunnyside Park. Project 2033. (5 b/w photographs), 1936-1938, undated",10,10,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,United States. Works Progress Administration (Iowa),http://id.loc.gov/authorities/names/n88224755,,,,,,,,,,,eng,1930s,,,,,Swimming pools--Design and construction,http://id.worldcat.org/fast/1140389,Iowa--Atlantic,http://id.worldcat.org/fast/1218680,,,,,,,1 photograph,photographic prints;black-and-white photographs,http://vocab.getty.edu/aat/300127104;http://vocab.getty.edu/aat/300128347,photographs,http://vocab.getty.edu/aat/300046300,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,2021-03-05,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Work Projects Administration (Iowa) photographs,https://n2t.net/ark:/87292/w9cz32b0t,,,reformatted digital; Digitized with Epson Expression 12000XL,
