legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
historicalmaps_2,historicalmaps2,historicalmaps,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i002_th.jpg,,,,,"Iowa Agricultural College campus and buildings map, 1896",https://n2t.net/ark:/87292/w9c24qn04,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa Agricultural College,http://id.loc.gov/authorities/names/n86021134,,,,,,,,,"Map of the Iowa Agricultural College campus and buildings from 1896, including a reference key.",,eng,1890s,,,,,College campuses,http://id.worldcat.org/fast/1740107,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,1 map,,,maps (documents);cartographic materials,http://vocab.getty.edu/aat/300028094;http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1896,2018-08-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_0,historicalmaps0,historicalmaps,child,historicalmaps2,1,RS4-8-0-7b001f001i002.tif,rs4-8-0-7b001f001i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i002_th.jpg,,,,,Front,,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_1,historicalmaps1,historicalmaps,child,historicalmaps2,2,RS4-8-0-7b001f001i003.tif,rs4-8-0-7b001f001i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i003_th.jpg,,,,,Back,,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_5,historicalmaps5,historicalmaps,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i005_th.jpg,,,,,"Proposed plan for Iowa State College campus, 1913",https://n2t.net/ark:/87292/w97940t58,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Johnson, R. S.",,,,,,,,,,,,"Blueprint map showing proposed plan for Iowa State College campus in Ames, Iowa. Drawn by R. S. Johnson in 1913, includes key of buildings on campus.",,eng,1910s,,,,,College campuses,http://id.worldcat.org/fast/1740107,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,1 map,,,maps (documents);cartographic materials,http://vocab.getty.edu/aat/300028094;http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1913,2018-08-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_3,historicalmaps3,historicalmaps,child,historicalmaps5,1,RS4-8-0-7b001f001i005.tif,rs4-8-0-7b001f001i005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i005_th.jpg,,,,,Page 1,,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_4,historicalmaps4,historicalmaps,child,historicalmaps5,2,RS4-8-0-7b001f001i006.tif,rs4-8-0-7b001f001i006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i006_th.jpg,,,,,Page 2,,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_6,historicalmaps6,historicalmaps,simple,,0,RS4-8-0-7b001f001i004.tif,rs4-8-0-7b001f001i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i004_th.jpg,,,,,"Key to map of college, 1904",https://n2t.net/ark:/87292/w93j3911j,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,,,,,Map of Iowa Agricultural College with a key listing where specific professors and halls reside from 1904.,,eng,1900s,,,,,College campuses,http://id.worldcat.org/fast/1740107,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,1 map,,,maps (documents);cartographic materials,http://vocab.getty.edu/aat/300028094;http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1904,2018-08-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_7,historicalmaps7,historicalmaps,simple,,0,RS4-8-0-7b001f001i001.tif,rs4-8-0-7b001f001i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i001_th.jpg,,,,,"Map of agricultural college farm, 1868",https://n2t.net/ark:/87292/w9zs2kc71,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa Agricultural College,http://id.loc.gov/authorities/names/n86021134,,,,,,,,,"Map of Agricultural College Farm including the barn, house, college, and surrounding landscape in 1868.",,eng,1860s,,,,,College campuses,http://id.worldcat.org/fast/1740107,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,1 map,,,maps (documents);cartographic materials,http://vocab.getty.edu/aat/300028094;http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1868,2018-08-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_10,historicalmaps10,historicalmaps,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7_001_004_014i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7_001_004_014i001_th.jpg,,,,,"Iowa State College campus map, 1955",https://n2t.net/ark:/87292/w9v40jz6h,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College,http://id.loc.gov/authorities/names/n82049648,,,,,,,,,"Map of Iowa State College camps, including parking regulations from 1955.",,eng,1950s,,,,,College campuses,http://id.worldcat.org/fast/1740107,Iowa--Ames;Iowa--Story County,http://id.worldcat.org/fast/1207548;http://id.worldcat.org/fast/1221286,,,,1 map,,,maps (documents);cartographic materials,http://vocab.getty.edu/aat/300028094;http://vocab.getty.edu/aat/300028052,Image,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1955,2018-08-15,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
historicalmaps_8,historicalmaps8,historicalmaps,child,historicalmaps10,1,RS4-8-0-7_001_004_014i001.tif,rs4-8-0-7_001_004_014i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7_001_004_014i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7_001_004_014i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7_001_004_014i001_th.jpg,,,,,Front,,,,RS 4/8,Iowa State University. Facilities Planning and Management records,https://n2t.net/ark:/87292/w9cx82,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Iowa State University historical maps,https://n2t.net/ark:/87292/w96w96851,,,reformatted digital
