legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
WomensExperience_2,womensexperience2,womensexperience,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs007-004-012b017i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs007-004-012b017i003_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/pdf/womensexperience2.pdf,"Panhel-WRA self-limited hours policies and procedures, February 18, 1967",https://n2t.net/ark:/87292/w9pg1hs26,,,RS 7/4/12,Julian C. Schilletter Papers,https://n2t.net/ark:/87292/w91f50,,,17,14,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Panhellenic Council; Iowa State University. Women���s Residence Association,http://id.loc.gov/authorities/names/no2011044064;,,,,,,,,,Document describing the policy and procedures of women's hours. Women's Hours limited the time a woman was allowed to freely leave and return to her dorm.,,eng,1960s,,,,,Student movements; Women--Political activity,http://id.worldcat.org/fast/1135954;http://id.worldcat.org/fast/1734136,Iowa--Ames; Iowa--Story County,http://id.worldcat.org/fast/1207548; http://id.worldcat.org/fast/1221286,,,,2 pages,,,bylaws (administrative records),http://vocab.getty.edu/aat/300027433,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1967-02-18,2019-04-08,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital; Digitized with Plustek
WomensExperience_0,womensexperience0,womensexperience,child,womensexperience2,1,RS007-004-012b017i003.tif,rs007-004-012b017i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/rs007-004-012b017i003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs007-004-012b017i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs007-004-012b017i003_th.jpg,,,,,Page 1,,,,RS 7/4/12,Julian C. Schilletter Papers,https://n2t.net/ark:/87292/w91f50,,,17,14,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital
WomensExperience_1,womensexperience1,womensexperience,child,womensexperience2,2,RS007-004-012b017i004.tif,rs007-004-012b017i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/rs007-004-012b017i004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs007-004-012b017i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs007-004-012b017i004_th.jpg,,,,,Page 2,,,,RS 7/4/12,Julian C. Schilletter Papers,https://n2t.net/ark:/87292/w91f50,,,17,14,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital
WomensExperience_5,womensexperience5,womensexperience,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs003-006-003b001i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs003-006-003b001i004_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/pdf/womensexperience5.pdf,"A schedule of events for Women's Week at the Iowa State University, October 10-16, 1974",https://n2t.net/ark:/87292/w9v698g61,,,RS 3/6/3,"Iowa State University. Margaret Sloss Women's Center records. Administrative records, 1971-2009",https://n2t.net/ark:/87292/w9kn2w,,,1,6,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,"A schedule of various events that were planned in connection with the first Women's week at Iowa State University. The theme was ""Woman: A Creative Being."" Women's week was a collection of events focused on issues pertaining to women.",,eng,1970s,,,,,Student movements; Women--Political activity; Feminism,http://id.worldcat.org/fast/1135954;http://id.worldcat.org/fast/1734136;http://id.worldcat.org/fast/922671,Iowa--Ames; Iowa--Story County,http://id.worldcat.org/fast/1207548; http://id.worldcat.org/fast/1221286,,,,2 pages,,,schedules (time plans),http://vocab.getty.edu/aat/300027339,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1974-10-10,2019-04-08,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital; Digitized with Plustek
WomensExperience_3,womensexperience3,womensexperience,child,womensexperience5,1,RS003-006-003b001i004.tif,rs003-006-003b001i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/rs003-006-003b001i004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs003-006-003b001i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs003-006-003b001i004_th.jpg,,,,,Front,,,,RS 3/6/3,"Iowa State University. Margaret Sloss Women's Center records. Administrative records, 1971-2009",https://n2t.net/ark:/87292/w9kn2w,,,1,6,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital
WomensExperience_4,womensexperience4,womensexperience,child,womensexperience5,2,RS003-006-003b001i005.tif,rs003-006-003b001i005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/rs003-006-003b001i005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs003-006-003b001i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs003-006-003b001i005_th.jpg,,,,,Back,,,,RS 3/6/3,"Iowa State University. Margaret Sloss Women's Center records. Administrative records, 1971-2009",https://n2t.net/ark:/87292/w9kn2w,,,1,6,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital
WomensExperience_8,womensexperience8,womensexperience,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs022-010-000-002b001i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs022-010-000-002b001i001_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/pdf/womensexperience8.pdf,"Author call for Americans to join ""revolution of women"" (Iowa State daily)",https://n2t.net/ark:/87292/w9gx44z4m,,,RS 22/10/0/2,YWCA Ames - Iowa State University,https://n2t.net/ark:/87292/w9w804,,,1,2,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Stahr, Mary Ann",,,,,,,,,,,,"Iowa State Daily article discussing Betty Friedan's speech at MacKay Auditorium. Friedan is known for her book ""The Feminine Mystique."" At MacKay, Friedan spoke about women's roles and the fights for women's rights.",,eng,1960s,,,,,Women--Political activity; Student movements,http://id.worldcat.org/fast/1734136;http://id.worldcat.org/fast/1135954,Iowa--Ames; Iowa--Story County,http://id.worldcat.org/fast/1207548; http://id.worldcat.org/fast/1221286,,,,2 pages,,,clippings (information artifacts),http://vocab.getty.edu/aat/300026867,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1966-04-04,2019-04-08,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital; Digitized with Plustek
WomensExperience_6,womensexperience6,womensexperience,child,womensexperience8,1,RS022-010-000-002b001i001.tif,rs022-010-000-002b001i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/rs022-010-000-002b001i001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs022-010-000-002b001i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs022-010-000-002b001i001_th.jpg,,,,,Page 1,,,,RS 22/10/0/2,YWCA Ames - Iowa State University,https://n2t.net/ark:/87292/w9w804,,,1,2,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital
WomensExperience_7,womensexperience7,womensexperience,child,womensexperience8,2,RS022-010-000-002b001i002.tif,rs022-010-000-002b001i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/rs022-010-000-002b001i002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs022-010-000-002b001i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs022-010-000-002b001i002_th.jpg,,,,,Page 2,,,,RS 22/10/0/2,YWCA Ames - Iowa State University,https://n2t.net/ark:/87292/w9w804,,,1,2,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital
WomensExperience_23,womensexperience23,womensexperience,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/small/rs022-001-002b007i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/thumbs/rs022-001-002b007i005_th.jpg,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/womensexperience/pdf/womensexperience23.pdf,"Report on preliminary survey on sex discrimination on the Iowa State campus, October 1974",https://n2t.net/ark:/87292/w98c9r75n,,,RS 22/1/2,"Iowa State University. Government of the Student Body records. Records, 1958-2013, undated",https://n2t.net/ark:/87292/w9cj7w,,,7,45,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University. Council on Student Affairs,,,,,,,,,,Report based on survey questions asked to women at Iowa State University regarding any sex discrimination. Includes comments about sex discrimination in different aspects of campus life.,,eng,1970s,,,,,Women--Political activity; Student movements; Sex discrimination against women,http://id.worldcat.org/fast/1734136;http://id.worldcat.org/fast/1135954;http://id.worldcat.org/fast/1114376,Iowa--Ames; Iowa--Story County,http://id.worldcat.org/fast/1207548; http://id.worldcat.org/fast/1221286,,,,13 pages,,,administrative reports,http://vocab.getty.edu/aat/300027268,Text,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,1974-10,2019-04-08,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Women's experience at Iowa State from 1960-1979 collection,https://n2t.net/ark:/87292/w9pk0755x,,,reformatted digital; Digitized with Plustek
