legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
RootsofIowaStateStatsCenter_21,rootsofiowastatestatscenter21,rootsofiowastatestatscenter,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_001_th.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/transcripts/rootsofiowastatestatscenter21.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/pdf/rootsofiowastatestatscenter21.pdf,Roots of the Iowa State Statistical Center,https://n2t.net/ark:/87292/w9fg39,,,RS 13/24,Iowa State University. Department of Statistics records,https://n2t.net/ark:/87292/w90794,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Bancroft, T. A. (Theodore Alfonso), 1907-",http://id.loc.gov/authorities/names/n88661173,,,,,,,,,,,"A brief history (1914-1950) of both the Statistical Laboratory and Department of Statistics which includes the early development and teaching of statistics at Iowa State, visits of eminent statisticians, early degree programs, establishment of the Department of Statistics, and the arrival of Oscar Kempthorne in 1947.",,eng,1980s,"Snedecor, George W. (George Waddel), 1881-1974",http://id.loc.gov/authorities/names/n80044519,Iowa State University. Statistical Laboratory;Iowa State University. Department of Statistics,http://id.loc.gov/authorities/names/n82257979;http://id.loc.gov/authorities/names/no2021043343,Statistical services;Statistics;Statisticians,http://id.worldcat.org/fast/1132083;http://id.worldcat.org/fast/1132103;http://id.worldcat.org/fast/1132099,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,10 pages; 21.5 x 28 cm,,,reports,http://vocab.getty.edu/aat/300027267,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1980-12-10,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_11,rootsofiowastatestatscenter11,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,1,13-24-01_statistics_subject_files_statlab-01_001.tif,13-24-01_statistics_subject_files_statlab-01_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_001_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_12,rootsofiowastatestatscenter12,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,2,13-24-01_statistics_subject_files_statlab-01_002.tif,13-24-01_statistics_subject_files_statlab-01_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_002_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_13,rootsofiowastatestatscenter13,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,3,13-24-01_statistics_subject_files_statlab-01_003.tif,13-24-01_statistics_subject_files_statlab-01_003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_003_th.jpg,,,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_14,rootsofiowastatestatscenter14,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,4,13-24-01_statistics_subject_files_statlab-01_004.tif,13-24-01_statistics_subject_files_statlab-01_004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_004_th.jpg,,,,,Page 4,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_15,rootsofiowastatestatscenter15,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,5,13-24-01_statistics_subject_files_statlab-01_005.tif,13-24-01_statistics_subject_files_statlab-01_005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_005_th.jpg,,,,,Page 5,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_16,rootsofiowastatestatscenter16,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,6,13-24-01_statistics_subject_files_statlab-01_006.tif,13-24-01_statistics_subject_files_statlab-01_006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_006_th.jpg,,,,,Page 6,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_17,rootsofiowastatestatscenter17,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,7,13-24-01_statistics_subject_files_statlab-01_007.tif,13-24-01_statistics_subject_files_statlab-01_007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_007_th.jpg,,,,,Page 7,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_18,rootsofiowastatestatscenter18,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,8,13-24-01_statistics_subject_files_statlab-01_008.tif,13-24-01_statistics_subject_files_statlab-01_008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_008_th.jpg,,,,,Page 8,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
RootsofIowaStateStatsCenter_19,rootsofiowastatestatscenter19,rootsofiowastatestatscenter,child,rootsofiowastatestatscenter21,9,13-24-01_statistics_subject_files_statlab-01_009.tif,13-24-01_statistics_subject_files_statlab-01_009.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/13-24-01_statistics_subject_files_statlab-01_009.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/small/13-24-01_statistics_subject_files_statlab-01_009_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/rootsofiowastatestatscenter/thumbs/13-24-01_statistics_subject_files_statlab-01_009_th.jpg,,,,,Page 9,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Roots of the Iowa State statistical center,https://n2t.net/ark:/87292/w9gh9b86v,,,reformatted digital
