legacy_id,objectid,collectionid,display_template,parentid,sequence,pres_file,filename,object_location,image_alt_text,image_small,image_thumb,object_ocr,object_hocr,object_transcript,object_pdf,title,ark,avian_id,uid,call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,personal_creator,personal_creator_uri,corporate_creator,corporate_creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,personal_contributor,personal_contributor_uri,corporate_contributor,corporate_contributor_uri,description,disclaimer,language,chronological_subject,personal_name_subject,personal_name_subject_uri,corporate_name_subject,corporate_name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,relation,relation_uri,digital_origin
StatisticalLabISU_37,statisticallabisu37,statisticallabisu,complex,,0,,,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_000i_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_000i_th.jpg,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/transcripts/statisticallabisu37.txt,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/pdf/statisticallabisu37.pdf,The Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99k4g,,,RS 13/24,Iowa State University. Department of Statistics records,https://n2t.net/ark:/87292/w90794,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State College bulletin,http://id.loc.gov/authorities/names/no2007057557,,,,,,,,,"A brief history of the Statistical Laboratory which includes statistical instruction at Iowa State, the establishment of the Statistical Laboratory, and a listing of publications by staff.",,eng,1940s,"Snedecor, George W. (George Waddel), 1881-1974",http://id.loc.gov/authorities/names/n80044519,Iowa State University. Statistical Laboratory,http://id.loc.gov/authorities/names/n82257979,Statistical services;Statistics;Statisticians,http://id.worldcat.org/fast/1132083;http://id.worldcat.org/fast/1132103;http://id.worldcat.org/fast/1132099,Iowa--Story County,http://id.worldcat.org/fast/1221286,,,,18 pages; 21.5 x 28 cm,,,bulletins,http://vocab.getty.edu/aat/300311679,Text,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/,1940,,Iowa State University. Library,http://id.loc.gov/authorities/names/n82160893,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_19,statisticallabisu19,statisticallabisu,child,statisticallabisu37,1,13-24-01_statistics_subject_files_statlab-02_000i.tif,13-24-01_statistics_subject_files_statlab-02_000i.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_000i.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_000i_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_000i_th.jpg,,,,,Cover,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_20,statisticallabisu20,statisticallabisu,child,statisticallabisu37,2,13-24-01_statistics_subject_files_statlab-02_000ii.tif,13-24-01_statistics_subject_files_statlab-02_000ii.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_000ii.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_000ii_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_000ii_th.jpg,,,,,Inside cover,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_21,statisticallabisu21,statisticallabisu,child,statisticallabisu37,3,13-24-01_statistics_subject_files_statlab-02_001.tif,13-24-01_statistics_subject_files_statlab-02_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_001.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_001_th.jpg,,,,,Page 1,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_22,statisticallabisu22,statisticallabisu,child,statisticallabisu37,4,13-24-01_statistics_subject_files_statlab-02_002.tif,13-24-01_statistics_subject_files_statlab-02_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_002.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_002_th.jpg,,,,,Page 2,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_23,statisticallabisu23,statisticallabisu,child,statisticallabisu37,5,13-24-01_statistics_subject_files_statlab-02_003.tif,13-24-01_statistics_subject_files_statlab-02_003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_003.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_003_th.jpg,,,,,Page 3,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_24,statisticallabisu24,statisticallabisu,child,statisticallabisu37,6,13-24-01_statistics_subject_files_statlab-02_004.tif,13-24-01_statistics_subject_files_statlab-02_004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_004.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_004_th.jpg,,,,,Page 4,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_25,statisticallabisu25,statisticallabisu,child,statisticallabisu37,7,13-24-01_statistics_subject_files_statlab-02_005.tif,13-24-01_statistics_subject_files_statlab-02_005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_005.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_005_th.jpg,,,,,Page 5,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_26,statisticallabisu26,statisticallabisu,child,statisticallabisu37,8,13-24-01_statistics_subject_files_statlab-02_006.tif,13-24-01_statistics_subject_files_statlab-02_006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_006.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_006_th.jpg,,,,,Page 6,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_27,statisticallabisu27,statisticallabisu,child,statisticallabisu37,9,13-24-01_statistics_subject_files_statlab-02_007.tif,13-24-01_statistics_subject_files_statlab-02_007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_007.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_007_th.jpg,,,,,Page 7,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_28,statisticallabisu28,statisticallabisu,child,statisticallabisu37,10,13-24-01_statistics_subject_files_statlab-02_008.tif,13-24-01_statistics_subject_files_statlab-02_008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_008.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_008_th.jpg,,,,,Page 8,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_29,statisticallabisu29,statisticallabisu,child,statisticallabisu37,11,13-24-01_statistics_subject_files_statlab-02_009.tif,13-24-01_statistics_subject_files_statlab-02_009.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_009.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_009_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_009_th.jpg,,,,,Page 9,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_30,statisticallabisu30,statisticallabisu,child,statisticallabisu37,12,13-24-01_statistics_subject_files_statlab-02_010.tif,13-24-01_statistics_subject_files_statlab-02_010.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_010.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_010_th.jpg,,,,,Page 10,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_31,statisticallabisu31,statisticallabisu,child,statisticallabisu37,13,13-24-01_statistics_subject_files_statlab-02_011.tif,13-24-01_statistics_subject_files_statlab-02_011.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_011.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_011_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_011_th.jpg,,,,,Page 11,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_32,statisticallabisu32,statisticallabisu,child,statisticallabisu37,14,13-24-01_statistics_subject_files_statlab-02_012.tif,13-24-01_statistics_subject_files_statlab-02_012.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_012.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_012_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_012_th.jpg,,,,,Page 12,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_33,statisticallabisu33,statisticallabisu,child,statisticallabisu37,15,13-24-01_statistics_subject_files_statlab-02_013.tif,13-24-01_statistics_subject_files_statlab-02_013.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_013.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_013_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_013_th.jpg,,,,,Page 13,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
StatisticalLabISU_34,statisticallabisu34,statisticallabisu,child,statisticallabisu37,16,13-24-01_statistics_subject_files_statlab-02_014.tif,13-24-01_statistics_subject_files_statlab-02_014.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/13-24-01_statistics_subject_files_statlab-02_014.jpg,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/small/13-24-01_statistics_subject_files_statlab-02_014_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/statisticallabisu/thumbs/13-24-01_statistics_subject_files_statlab-02_014_th.jpg,,,,,Page 14,,,,,,,,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,,,,,,,,Statistical Laboratory of the Iowa State College,https://n2t.net/ark:/87292/w99s1kk02,,,reformatted digital
